run_id,epoch,train_loss,val_loss,val_auc,lr,alpha,gamma,batch_size,weight_decay
run_20260211_233742,1,0.036632563093338504,0.020784842332118546,0.968312629399586,0.0002,0.55,2.0,64,0.0001
run_20260211_233742,2,0.027847082586959004,0.020510972284808242,0.969035541752933,0.0002,0.55,2.0,64,0.0001
run_20260211_233742,3,0.026086169217402738,0.02030153521176042,0.9688561076604555,0.0002,0.55,2.0,64,0.0001
run_20260211_233742,4,0.024966367943720383,0.021015912904564678,0.9711818495514147,0.0002,0.55,2.0,64,0.0001
run_20260211_233742,5,0.02453161691047364,0.02124364731897568,0.9698136645962732,0.0002,0.55,2.0,64,0.0001
run_20260211_233742,6,0.022640064341072557,0.020332732366333747,0.9693271221532092,0.0002,0.55,2.0,64,0.0001
run_20260211_233742,7,0.023254633634210084,0.02013674001048865,0.971704623878537,0.0002,0.55,2.0,64,0.0001
run_20260211_233742,8,0.022899345198476858,0.02120770970038299,0.9716425120772947,0.0002,0.55,2.0,64,0.0001
run_20260211_233742,9,0.022530794440006666,0.020747118468942314,0.9731021394064873,0.0002,0.55,2.0,64,0.0001
run_20260211_233742,10,0.02307860543739728,0.021477625352041476,0.9701432022084197,0.0002,0.55,2.0,64,0.0001
run_20260211_233742,11,0.021760901972425705,0.021325035245511038,0.9704658385093168,0.0002,0.55,2.0,64,0.0001
run_20260211_233742,12,0.02285896339735976,0.0206893105220435,0.9721152518978606,0.0002,0.55,2.0,64,0.0001
run_20260211_233742,13,0.022937109697412587,0.021541676644621224,0.9715510697032436,0.0002,0.55,2.0,64,0.0001
run_20260211_233742,14,0.02145772610057258,0.020753926436962753,0.9728381642512077,0.0002,0.55,2.0,64,0.0001
run_20260211_233742,15,0.02183656501372091,0.020639991933672594,0.9720048309178745,0.0002,0.55,2.0,64,0.0001
run_20260211_233742,16,0.02204533805365138,0.020287150019330197,0.9756538992408557,0.0002,0.55,2.0,64,0.0001
run_20260211_233742,17,0.02208262042382337,0.02121719981318918,0.9703899240855762,0.0002,0.55,2.0,64,0.0001
run_20260211_233742,18,0.02288354465131168,0.0203499593932567,0.9701880607315391,0.0002,0.55,2.0,64,0.0001
run_20260211_233742,19,0.020711521967314184,0.020914980499395008,0.9713008971704623,0.0002,0.55,2.0,64,0.0001
run_20260211_233742,20,0.02150345608154594,0.020253842519917364,0.9719064872325742,0.0002,0.55,2.0,64,0.0001
run_20260211_233742,21,0.019757254631258547,0.02079513028328275,0.9725810904071773,0.0002,0.55,2.0,64,0.0001
run_20260211_233742,22,0.02157677207001005,0.021456593808172077,0.9706504485852312,0.0002,0.55,2.0,64,0.0001
run_20260211_233742,23,0.023709564198118944,0.022359976512861663,0.9713388543823326,0.0002,0.55,2.0,64,0.0001
run_20260211_233742,24,0.022071502972253118,0.020729289454375875,0.9705779848171152,0.0001,0.55,2.0,64,0.0001
run_20260211_233742,25,0.020317070898741033,0.021436293994815184,0.9700172532781228,0.0001,0.55,2.0,64,0.0001
run_20260211_233742,26,0.02015225666180027,0.021445431441454024,0.9697273982056592,0.0001,0.55,2.0,64,0.0001
run_20260211_233742,27,0.021168387583174714,0.02153661140593989,0.9713440303657694,0.0001,0.55,2.0,64,0.0001
run_20260211_233742,28,0.021153438271898212,0.020727069261644422,0.9709713595583161,0.0001,0.55,2.0,64,0.0001
run_20260211_233742,29,0.020819819909802667,0.020954019727249598,0.9719685990338164,0.0001,0.55,2.0,64,0.0001
run_20260211_233742,30,0.020102254996979325,0.021332998294383287,0.9721152518978606,0.0001,0.55,2.0,64,0.0001
run_20260211_233742,31,0.019445912245745687,0.0210144747979939,0.9708712905452036,5e-05,0.55,2.0,64,0.0001
run_20260211_233742,32,0.021055602253358247,0.021138130494489753,0.9709610075914423,5e-05,0.55,2.0,64,0.0001
run_20260211_233742,33,0.021853326689310823,0.021684904101079906,0.9712163561076604,5e-05,0.55,2.0,64,0.0001
run_20260211_233742,34,0.020385534153319895,0.021601781762879472,0.9722049689440994,5e-05,0.55,2.0,64,0.0001
